run_id,N,e,a,b,E_per_N,radius,seed,t_max,save_interval,method,collision_method,use_parallel
1,40,0.0,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
2,40,0.0,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
3,40,0.0,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
4,40,0.0,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
5,40,0.0,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
6,40,0.0,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
7,40,0.0,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
8,40,0.0,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
9,40,0.0,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
10,40,0.0,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
11,40,0.3,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
12,40,0.3,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
13,40,0.3,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
14,40,0.3,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
15,40,0.3,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
16,40,0.3,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
17,40,0.3,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
18,40,0.3,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
19,40,0.3,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
20,40,0.3,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
21,40,0.5,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
22,40,0.5,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
23,40,0.5,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
24,40,0.5,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
25,40,0.5,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
26,40,0.5,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
27,40,0.5,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
28,40,0.5,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
29,40,0.5,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
30,40,0.5,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
31,40,0.7,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
32,40,0.7,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
33,40,0.7,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
34,40,0.7,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
35,40,0.7,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
36,40,0.7,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
37,40,0.7,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
38,40,0.7,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
39,40,0.7,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
40,40,0.7,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
41,40,0.8,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
42,40,0.8,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
43,40,0.8,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
44,40,0.8,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
45,40,0.8,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
46,40,0.8,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
47,40,0.8,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
48,40,0.8,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
49,40,0.8,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
50,40,0.8,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
51,40,0.9,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
52,40,0.9,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
53,40,0.9,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
54,40,0.9,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
55,40,0.9,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
56,40,0.9,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
57,40,0.9,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
58,40,0.9,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
59,40,0.9,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
60,40,0.9,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
61,40,0.95,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
62,40,0.95,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
63,40,0.95,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
64,40,0.95,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
65,40,0.95,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
66,40,0.95,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
67,40,0.95,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
68,40,0.95,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
69,40,0.95,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
70,40,0.95,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
71,40,0.98,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
72,40,0.98,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
73,40,0.98,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
74,40,0.98,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
75,40,0.98,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
76,40,0.98,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
77,40,0.98,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
78,40,0.98,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
79,40,0.98,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
80,40,0.98,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
81,40,0.99,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
82,40,0.99,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
83,40,0.99,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
84,40,0.99,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
85,40,0.99,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
86,40,0.99,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
87,40,0.99,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
88,40,0.99,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
89,40,0.99,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
90,40,0.99,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
91,60,0.0,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
92,60,0.0,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
93,60,0.0,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
94,60,0.0,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
95,60,0.0,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
96,60,0.0,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
97,60,0.0,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
98,60,0.0,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
99,60,0.0,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
100,60,0.0,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
101,60,0.3,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
102,60,0.3,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
103,60,0.3,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
104,60,0.3,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
105,60,0.3,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
106,60,0.3,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
107,60,0.3,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
108,60,0.3,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
109,60,0.3,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
110,60,0.3,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
111,60,0.5,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
112,60,0.5,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
113,60,0.5,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
114,60,0.5,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
115,60,0.5,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
116,60,0.5,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
117,60,0.5,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
118,60,0.5,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
119,60,0.5,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
120,60,0.5,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
121,60,0.7,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
122,60,0.7,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
123,60,0.7,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
124,60,0.7,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
125,60,0.7,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
126,60,0.7,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
127,60,0.7,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
128,60,0.7,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
129,60,0.7,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
130,60,0.7,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
131,60,0.8,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
132,60,0.8,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
133,60,0.8,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
134,60,0.8,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
135,60,0.8,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
136,60,0.8,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
137,60,0.8,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
138,60,0.8,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
139,60,0.8,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
140,60,0.8,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
141,60,0.9,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
142,60,0.9,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
143,60,0.9,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
144,60,0.9,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
145,60,0.9,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
146,60,0.9,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
147,60,0.9,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
148,60,0.9,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
149,60,0.9,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
150,60,0.9,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
151,60,0.95,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
152,60,0.95,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
153,60,0.95,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
154,60,0.95,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
155,60,0.95,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
156,60,0.95,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
157,60,0.95,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
158,60,0.95,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
159,60,0.95,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
160,60,0.95,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
161,60,0.98,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
162,60,0.98,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
163,60,0.98,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
164,60,0.98,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
165,60,0.98,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
166,60,0.98,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
167,60,0.98,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
168,60,0.98,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
169,60,0.98,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
170,60,0.98,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
171,60,0.99,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
172,60,0.99,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
173,60,0.99,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
174,60,0.99,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
175,60,0.99,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
176,60,0.99,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
177,60,0.99,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
178,60,0.99,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
179,60,0.99,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
180,60,0.99,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
181,80,0.0,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
182,80,0.0,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
183,80,0.0,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
184,80,0.0,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
185,80,0.0,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
186,80,0.0,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
187,80,0.0,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
188,80,0.0,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
189,80,0.0,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
190,80,0.0,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
191,80,0.3,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
192,80,0.3,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
193,80,0.3,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
194,80,0.3,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
195,80,0.3,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
196,80,0.3,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
197,80,0.3,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
198,80,0.3,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
199,80,0.3,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
200,80,0.3,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
201,80,0.5,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
202,80,0.5,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
203,80,0.5,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
204,80,0.5,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
205,80,0.5,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
206,80,0.5,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
207,80,0.5,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
208,80,0.5,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
209,80,0.5,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
210,80,0.5,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
211,80,0.7,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
212,80,0.7,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
213,80,0.7,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
214,80,0.7,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
215,80,0.7,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
216,80,0.7,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
217,80,0.7,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
218,80,0.7,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
219,80,0.7,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
220,80,0.7,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
221,80,0.8,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
222,80,0.8,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
223,80,0.8,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
224,80,0.8,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
225,80,0.8,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
226,80,0.8,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
